timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1775845130337,0.8747088,-0.42543283,0.16782387,0.002418256,-0.008285939,0.9999081,0.010460085
1775845130347,0.87144965,-0.4300664,0.16795875,0.001586089,-0.007834679,0.9998881,0.0126515515
1775845130358,0.86829865,-0.43511635,0.16775773,0.002815236,-0.0063618664,0.9998607,0.015168069
1775845130369,0.86506563,-0.43971333,0.16771513,0.0026303797,-0.008882093,0.99979794,0.017838674
1775845130378,0.8618038,-0.44431135,0.1677944,0.001826823,-0.00963103,0.99974835,0.020181863
1775845130388,0.8585541,-0.44878444,0.16795284,0.0021760657,-0.0071728034,0.99972135,0.022385936
1775845130402,0.8554336,-0.45328775,0.1681172,0.0012445848,-0.0037494854,0.99966335,0.025642803
1775845130407,0.85226554,-0.4575823,0.16801004,0.0040252833,-0.004543202,0.99956614,0.028824084
1775845130418,0.84909165,-0.46213943,0.16763659,0.0017648898,-0.00989383,0.99948376,0.030516274
1775845130429,0.84590626,-0.46653426,0.16766346,0.0023190125,-0.009835043,0.99939466,0.033290703
1775845130438,0.8427397,-0.47109076,0.1674936,0.005194696,-0.007700078,0.9992848,0.03665598
1775845130448,0.8394593,-0.4753892,0.16755345,0.0019238399,-0.007701208,0.9992537,0.037801996
1775845130457,0.8359213,-0.47963393,0.1674038,0.0023042352,-0.008615806,0.9992353,0.038069855
1775845130468,0.83248305,-0.4841286,0.16718875,0.0015754572,-0.0083510475,0.99915385,0.04024117
1775845130477,0.8289001,-0.4884882,0.167097,0.00030036294,-0.01045525,0.99904567,0.04240781
1775845130488,0.8253254,-0.49285972,0.167026,0.000072088726,-0.0056275534,0.99892664,0.04597587
1775845130497,0.82183576,-0.49735454,0.16696821,0.00028620256,-0.0070305495,0.99879694,0.048529863
1775845130508,0.8182265,-0.5017634,0.16688812,-0.00048342242,-0.008221001,0.9987183,0.049939994
1775845130517,0.8145877,-0.5062382,0.16654466,-0.0008114275,-0.010920752,0.99863285,0.051113803
1775845130528,0.81088406,-0.5105528,0.16648313,0.0039726384,-0.013569375,0.9984086,0.054591678
1775845130537,0.8071389,-0.5149441,0.16682006,0.0028502804,-0.011934479,0.99821544,0.058440283
1775845130547,0.8034416,-0.51961845,0.16666047,0.0004353867,-0.009132431,0.9981033,0.060878575
1775845130558,0.7997134,-0.5241082,0.1666074,0.00059827574,-0.009224072,0.99799126,0.06267195
1775845130567,0.7959945,-0.5286817,0.16658458,0.0013433052,-0.010292508,0.9978357,0.06493209
1775845130577,0.79218966,-0.53323567,0.16642246,0.0024147218,-0.010784905,0.9976863,0.067080274
1775845130588,0.7883894,-0.537784,0.16620524,0.00006758694,-0.009459617,0.99749434,0.07011003
1775845130599,0.78447443,-0.5420258,0.16609894,0.0019461544,-0.009821686,0.99725246,0.07339759
1775845130608,0.780547,-0.54629594,0.16608039,0.00017989703,-0.010646968,0.9971396,0.07482859
1775845130618,0.7765983,-0.5504693,0.16602525,-0.00085224124,-0.0117467055,0.9970251,0.07617206
1775845130628,0.77252805,-0.55484265,0.16619334,0.0016901194,-0.012696053,0.9968055,0.07883415
1775845130638,0.76865244,-0.5591037,0.16614917,-0.0009512088,-0.010051207,0.9966956,0.08059804
1775845130648,0.76481223,-0.5633231,0.16624905,-0.00032930632,-0.009488871,0.996494,0.083123215
1775845130665,0.76111054,-0.56763875,0.16608481,0.0012227464,-0.008716172,0.9962251,0.086359195
1775845130668,0.7572342,-0.5716811,0.16598219,0.0006628009,-0.011305203,0.99596053,0.08907425
